id,name,long,lat,intensity
1,Hindmata at Dadar,19.010653285827974, 72.8426175393554,5
2,Dadar East, 19.017144327163436, 72.84875722666666,4
3,Nagpada Null bazar,18.957734, 72.829526,5
4,Khetwadi at Grant Road,18.958284, 72.822621,3
5,Girgaums Famous Gol Deol temple area,18.958459796386915, 72.82816835805947,3
6,C P Tank near Bhuleshwar,18.955896696180304, 72.82734866212395,4
7,Nana Chowk,18.961712252508008, 72.81320551990552,3
8,Madanpura, 18.970313781964045, 72.82747986891845,3
9,Kamathipura,18.965334, 72.825862,3
10,Saat Rasta,18.981098780055483, 72.82675226833366,3
11,Sewri Sessions Court (Central), 18.996507540948137, 72.8528196391378,3
12,Dadar Flower Market, 19.01706422582855, 72.84102572493315,3
13,Century Bazaar Worli, 19.012602069438223, 72.82590861362134,5
14,Senapati Bapat Marg at Mahim, 19.03869975216917, 72.84721271236633,4
15,Kurla Railway Station ,19.065918477322278, 72.8790329909913,3
16,kurla station,19.065872375178536, 72.879110581907,4
17,Pipe road,19.07499710110702, 72.8814250837583,3
18,Chemburs Postal Colony,19.065702141445257, 72.89355416031765,3
19,Chemburs Acharya College,19.058461105899436, 72.90791418190686,4
20,Suman Nagar Junction,19.054233348097277, 72.88468878878162,4
21,Deonar BMC Colony,19.064595161687873, 72.89988501762146,5
22,Ghatkopar Railway Station ,19.0860135809623, 72.90900569725085,5
23,Pant Nagar Area,19.084979793983877, 72.910395001514,3
24,Tagore Nagar,19.121144799347334, 72.93323538143332,5
25,Vikhroli,19.14436802056081, 72.93861831650642,5
26,Sonapur,19.166307276437294, 72.93495494473143,5
27,Ghatkopar Chirag Nagar Road Junction,19.215866060547867, 72.91475750485212,5
28,Mahim,19.041526859925884, 72.84079271843588,4
29,Bandra Hill Road,19.05554981412192, 72.83079079725034,4
30,Santacruz Milan Subway,19.109514911184203, 72.84400455246404,3
31,S V Road,19.138868111027776, 72.84510898190815,5
32,Linking Road,19.07498069987823, 72.83417491074304,3
33,Golibar Subway,19.216080506476498, 72.82954995694529,4
34,Vakola Junction in East,19.081050694599963, 72.84681034801278,4
35,Kalina Chowki, 18.992679450534485, 72.842962069301,5
36,Air India Colony,19.08489467282531, 72.86724275724266,3
37,Andheri Railway Station,19.120097885471075, 72.8464344377284,5
38,Andheri Kurla Road,19.112506635496676, 72.86732149725128,4
39,Seepz,19.130276199985712, 72.87698447713521,3
40,Asalpha Village & Kaju Pada Loactions,19.092876062164, 72.8865379291047,4
41,Saki Naka,19.10621000850032, 72.88876780661188,4
42,Sak Vihar Road,19.138347590486433, 72.89314220146791,3
43,Marol Naka,19.108372091776744, 72.8794773972512,3
44,Mumbai International Airport,19.090562024010204, 72.8627840837586,3
45,Sahar Road,19.108829489718996, 72.85648421074353,5
46,Sacred Heart Church Andheri,19.124874263909607, 72.86662225307197,4
47,Andheri Four Bunglow area,19.229925873059774, 72.86164097689321,5
48,Jogeshwari Behram Baug,19.147163244568073, 72.84157782928726,5
49,Oshiwara Road,19.567457210799862, 72.83829093859309,5
50,Malad Subway,19.189550743053378, 72.8491578530731,5
51,Chincholi Bunder Road,19.179551820167024, 72.83837286841647,5
52,Borivali Daulat Nagar,19.242171708168534, 72.86036530764918,4
